%time,field.x,field.y,field.theta
543840000000,34.9633937726,-1.26366598966,-2.88656445097
543940000000,34.8943735667,-1.28150661316,-2.87560242585
544040000000,34.7912653279,-1.30984614562,-2.85589676363
544140000000,34.7228638925,-1.32992831705,-2.84088461064
544240000000,34.6208634552,-1.36202540889,-2.81750845578
544340000000,34.5532891315,-1.3847357746,-2.80244949275
544440000000,34.4525692695,-1.42065095821,-2.78124078945
544540000000,34.3858342084,-1.44572092061,-2.76915299328
544640000000,34.2862652944,-1.48471569581,-2.75394393859
544740000000,34.2201754883,-1.51144078622,-2.74797102503
544840000000,34.1215423352,-1.55274202796,-2.74913620515
544940000000,34.0557746657,-1.58025033055,-2.75651740211
545041000000,33.9566729571,-1.62041792308,-2.77134359719
